2523	5496
689	5496
427	5496
3250	5496
5882	5496
4462	4346
2217	3735
2650	859
2650	2679
2650	3630
2650	1168
2650	7132
271	2650
2650	735
2650	7960
2650	865
2650	7750
2650	260
2650	704
2650	7959
891	2650
2650	891
2650	1987
2650	1395
2650	1575
2650	5533
2650	1770
2650	2233
2650	2236
1725	2650
2650	984
2650	2232
3236	2650
238	2650
2650	2630
2650	2222
2742	2650
2650	394
2650	4641
2650	6180
2650	2235
2650	1219
4228	2650
2650	1220
2650	3186
2650	4716
3586	1764
3586	1762
3586	3451
3586	1274
3586	2681
1951	3586
3586	1373
3586	3635
956	3586
3586	207
3586	5112
3586	4617
3586	2773
3586	1231
3586	3496
3496	3586
3586	726
3586	6655
3586	6387
3586	689
3586	866
3586	3602
3586	273
3586	3163
2158	3586
1636	3586
3586	6525
3586	3536
3586	4588
3586	1964
3586	300
3586	7945
3586	3679
3586	158
3586	3954
3954	3586
3586	1959
3586	5077
3586	3305
3586	2865
3586	3593
3586	6522
1577	3586
3586	2246
3586	6053
3586	3590
3586	2219
3586	427
3586	2239
3586	5316
3586	2915
5488	3586
3586	2614
3586	6381
3586	4060
67	3586
3586	1987
3586	1477
6857	3586
3586	4137
3586	6119
3586	2761
3586	2392
3586	5145
1770	3586
3586	1966
3586	5444
1193	3586
3586	5422
428	3586
3586	2236
3586	4674
3586	3618
3586	3153
812	3586
3586	4723
4230	3586
4252	3586
3586	4899
2078	3586
3586	6185
6185	3586
3586	3771
3586	5882
3586	4348
3586	5780
3586	2872
3607	3586
3586	6406
3586	1242
3586	2186
3586	122
3586	3612
3586	4925
3586	5855
3586	7936
4731	3586
6032	3586
3586	3587
3586	3603
3586	4365
3586	6668
2099	3586
3586	5625
3586	2062
3586	1234
3586	3551
4900	3586
3586	2834
3586	5333
3586	6526
3586	2864
3586	4232
3586	3786
4632	3586
3586	5697
3586	7327
3586	3596
3586	5938
3586	6220
3586	4578
3586	6473
3586	6748
3586	4587
3586	6545
3586	5777
3586	7650
3586	7712
3586	7248
3586	1479
3586	6987
3586	3608
3586	7547
3272	2167
2681	2167
6231	2167
2207	2167
2800	2167
2698	2167
737	2167
3025	2167
2167	2156
2167	4328
2167	2362
1735	29
2081	1735
528	859
528	5923
528	3272
528	760
528	3343
528	808
528	1876
1203	528
733	528
528	2278
528	3652
528	7044
528	2705
528	866
528	7132
528	2721
528	2797
528	3561
528	2895
528	699
528	2707
528	170
528	1462
528	6027
528	224
528	5957
528	4946
528	2789
528	3514
12	528
528	2833
528	3644
528	2565
528	4432
528	4915
528	2971
528	2026
528	180
528	2239
528	2505
528	2627
528	2386
528	3645
528	2614
528	2687
528	2738
528	2577
528	5500
528	1987
528	3479
528	4742
2712	528
528	3307
528	336
528	2392
528	5788
528	1377
528	4122
4122	528
528	2223
528	2544
528	2029
528	6413
528	5122
528	126
528	2222
528	2156
528	1025
528	4641
528	2631
528	790
528	730
528	6229
528	7430
528	5216
528	2420
528	880
528	3328
528	2028
528	5426
528	3682
528	5091
528	7416
528	1643
528	4962
528	2592
528	2894
2672	177
2681	177
177	6722
2711	177
6868	3543
3130	6868
6868	5404
6868	684
6868	5647
271	234
248	234
388	234
3272	420
420	6587
3542	420
3181	420
2276	420
420	1306
420	795
3338	420
2471	420
3831	420
420	6464
3523	2523
2681	3523
2506	3523
800	3523
3523	3505
3524	3523
3523	3504
3272	859
2681	859
1359	859
82	859
1395	859
127	859
6046	859
2652	859
914	859
3740	859
2653	859
859	5936
2473	859
2695	3546
2681	2695
2695	2931
2695	3503
2695	2539
2695	3630
2695	7224
2695	3543
2695	189
2695	2438
2695	14
2695	1414
2695	2386
2637	2695
2695	1575
2695	3276
2695	432
2695	7957
2695	1877
2695	989
2695	2881
2695	567
2695	1512
2695	4021
2695	7657
2695	1551
2695	5825
2638	2695
2695	2823
2695	3699
2695	3176
2695	4194
2695	7584
2695	5310
2695	6809
2695	4771
2695	696
2695	6480
2695	7008
5590	2185
735	5590
7960	5590
5590	3741
501	5590
4237	5590
734	5590
5590	1965
5679	5590
5590	2614
5590	3472
5590	911
5590	1966
5590	421
3694	5590
4361	5590
2224	5590
5590	3411
7601	5590
5590	3560
5590	3410
5590	3928
5590	3412
6430	5590
6284	412
7746	6284
3345	3340
5521	3340
3340	3346
3340	3325
3030	6363
3030	6502
3030	6982
139	3030
1807	3030
2546	3030
144	3030
1764	1762
1764	6722
1764	3543
1764	3531
132	1764
3272	626
5192	626
206	626
626	206
6280	626
4460	626
4252	626
3634	626
624	626
126	626
3423	626
626	5855
3835	626
1478	626
626	2338
4632	626
626	4163
205	626
4341	6363
4341	6502
4341	1636
4341	1716
3451	31
31	3267
31	6722
1226	31
1917	31
1669	31
1396	31
5276	31
31	940
1987	31
31	1516
31	3549
3549	31
400	31
31	5432
6344	31
4879	31
2795	31
31	1150
5122	31
31	1299
3948	31
2846	31
2421	31
4118	31
31	3060
755	31
2546	31
31	7204
622	31
1560	31
31	3655
31	2303
31	2464
31	2177
31	643
5552	31
5039	6722
5039	6204
5039	7367
2490	5039
5039	2041
5039	7039
5039	3107
4340	5039
1649	4374
2523	1762
2672	1762
1203	1762
1762	3543
1152	1762
1762	3020
271	1762
103	1762
501	1762
4035	1762
320	1762
7579	1762
4964	1762
367	1762
1762	5295
1762	7260
5125	1762
1762	1005
2672	3546
5478	3546
5171	3546
2150	3546
5160	3546
1203	3546
3542	3546
584	3546
2425	3546
3545	3546
3543	3546
2672	5366
2681	5366
5366	6231
1305	5366
2683	5366
1298	5366
5366	1298
2698	5366
2933	5366
1310	5366
3272	94
94	207
207	94
94	1305
94	7256
94	4932
2871	94
283	94
2697	94
94	2697
93	94
94	6483
2847	94
94	3458
2672	176
