source	target	is_directed	is_stimulation	is_inhibition	dip_url
1020	1786	1	1	0	NA
1020	84152	1	1	0	NA
1020	5621	1	0	0	NA
1020	5771	1	0	0	NA
1020	7272	1	0	0	NA
1020	5925	1	0	1	NA
1020	1400	1	1	0	NA
1020	5604	1	0	1	NA
1020	351	1	1	0	NA
1020	3064	1	1	0	NA
1020	51343	1	0	0	NA
1020	472	1	1	0	NA
1020	51100	1	0	0	NA
1020	10725	1	1	0	NA
1020	5747	1	1	0	NA
1020	7157	1	1	0	NA
25	1020	1	1	0	NA
1020	5829	1	0	0	NA
1020	7430	1	1	0	NA
1020	5366	1	0	1	NA
1020	9575	1	1	0	NA
1020	10645	1	0	1	NA
1020	6118	1	0	0	NA
1020	4205	1	1	1	NA
1020	367	1	1	0	NA
1020	4780	1	0	0	NA
1020	5289	1	0	1	NA
1020	5499	1	0	1	NA
1020	5058	1	0	1	NA
1020	7431	1	0	0	NA
1020	5468	1	0	0	NA
1020	5584	1	0	0	NA
1020	5663	1	1	0	NA
1020	5413	1	0	0	NA
1020	23621	1	0	0	NA
1020	4137	1	1	1	NA
1020	7094	1	1	0	NA
1020	10273	0	0	0	NA
5609	1020	1	0	0	NA
1020	6774	1	1	0	NA
1020	701	1	0	0	NA
1020	5071	1	1	1	NA
1020	27429	1	1	0	NA
1020	2908	1	1	1	NA
1020	8851	1	0	1	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=40137
8851	1020	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=40137
1020	4747	1	0	0	NA
1020	5338	1	0	0	NA
1020	4209	1	0	0	NA
1020	55704	1	0	0	NA
1020	11151	1	1	0	NA
1020	273	1	1	0	NA
1020	4744	1	1	0	NA
1020	4607	1	0	0	NA
1020	2058	1	0	1	NA
1020	10059	1	0	0	NA
1020	5504	1	0	0	NA
1020	1600	1	1	0	NA
1020	1446	1	0	0	NA
1020	54820	1	0	0	NA
1020	116986	1	1	0	NA
1020	22853	1	1	1	NA
1020	5127	1	0	0	NA
1020	1809	1	1	0	NA
1020	6813	1	0	1	NA
1020	4208	1	0	0	NA
1020	23396	1	0	1	NA
1020	7498	1	0	0	NA
1020	11076	1	0	0	NA
1020	116154	1	0	0	NA
1020	3488	1	0	0	NA
1020	10763	1	0	0	NA
1020	5435	1	0	0	NA
1020	5924	1	1	0	NA
5566	361	1	0	0	NA
5578	361	1	0	0	NA
361	59341	0	0	0	NA
5608	361	1	0	0	NA
65266	7222	1	0	1	NA
6446	65266	1	1	0	NA
65266	23327	1	0	0	NA
65266	1366	1	0	0	NA
65266	26249	0	0	0	NA
596	488	0	0	0	NA
545	488	1	0	0	NA
815	488	1	1	0	NA
6714	859	0	0	0	NA
859	57158	0	0	0	NA
7220	859	0	0	0	NA
6546	859	0	0	0	NA
4842	859	0	0	0	NA
859	2778	0	0	0	NA
859	1605	0	0	0	NA
6840	859	0	0	0	NA
5213	859	0	0	0	NA
8291	859	0	0	0	NA
859	55867	0	0	0	NA
7168	5311	0	0	0	NA
5578	7168	1	0	0	NA
5290	7168	1	0	0	NA
1612	7168	1	1	0	NA
7168	7139	0	0	0	NA
7169	7168	0	0	0	NA
7168	7138	0	0	0	NA
6714	1759	1	1	0	NA
5578	1759	1	0	1	NA
2885	1759	1	1	0	NA
162	1759	1	1	0	NA
2932	1759	1	0	0	NA
274	1759	0	0	0	NA
51429	1759	1	1	0	NA
5532	1759	1	1	0	NA
1859	1759	1	0	1	NA
7846	1759	1	1	0	NA
5533	1759	1	1	0	NA
1759	51024	0	0	0	NA
5217	1759	0	0	0	NA
5592	7225	1	0	1	NA
5578	5592	1	1	0	NA
5592	5997	1	1	0	NA
5592	7137	1	1	0	NA
5592	5331	1	0	0	NA
5592	7408	1	1	1	NA
5592	84876	1	0	0	NA
5592	7222	1	0	1	NA
5592	387	1	0	0	NA
5592	5159	1	0	0	NA
5592	27	1	0	0	NA
5592	2969	1	1	0	NA
5592	5058	1	0	0	NA
5515	5592	1	0	0	NA
5592	3315	1	0	1	NA
5592	6722	1	0	1	NA
5592	875	1	0	0	NA
5592	102724560	1	0	0	NA
5592	3927	1	0	1	NA
5592	2010	1	0	0	NA
5592	5908	1	0	0	NA
5592	1080	1	1	0	NA
5592	3172	1	0	0	NA
5592	8654	1	1	0	NA
5592	200576	1	0	0	NA
5592	3269	1	0	1	NA
5592	29109	1	1	0	NA
5516	5592	1	0	0	NA
5592	5805	1	1	0	NA
5592	7536	1	0	0	NA
5592	6532	1	1	0	NA
5592	9019	1	0	0	NA
5592	151887	1	0	0	NA
5592	23108	1	0	0	NA
5592	64407	1	0	0	NA
5592	10335	1	1	0	NA
5592	1397	1	0	0	NA
5592	55964	1	0	0	NA
5592	80318	1	0	0	NA
25937	4654	1	1	0	NA
1454	25937	1	1	1	NA
102800317	25937	1	1	1	NA
25937	7849	1	1	0	NA
983	25937	1	0	0	NA
9113	25937	1	0	1	NA
1453	25937	1	0	1	NA
25937	4087	1	1	0	NA
26524	25937	1	0	1	NA
25937	5468	1	0	1	NA
25937	7080	1	1	0	NA
25937	1855	1	0	1	NA
25937	4088	1	1	0	NA
25937	860	1	1	0	NA
7531	25937	0	0	0	NA
9414	25937	1	0	1	NA
4750	25937	0	0	0	NA
25937	7004	1	1	0	NA
154796	25937	1	0	1	NA
25937	7270	1	1	0	NA
25937	7003	1	1	0	NA
25937	8463	1	1	0	NA
25937	7005	1	1	0	NA
55749	25937	0	0	0	NA
55081	841	1	0	0	NA
282991	55081	0	0	0	NA
6855	6844	0	0	0	NA
23683	6844	0	0	0	NA
6844	6856	0	0	0	NA
6844	6810	0	0	0	NA
6281	55503	1	1	0	NA
6281	56302	1	1	0	NA
6281	80036	0	0	0	NA
302	6281	0	0	0	NA
3777	6281	0	0	0	NA
5340	6281	0	0	0	NA
310	6281	0	0	0	NA
3710	3708	0	0	0	NA
3710	59341	1	1	0	NA
3710	7222	1	1	0	NA
3710	7184	1	0	0	NA
286	3710	0	0	0	NA
6714	1213	1	1	0	NA
11337	1213	0	0	0	NA
408	1213	1	0	0	NA
1213	408	1	0	0	NA
55054	1213	1	1	0	NA
9636	1213	1	0	0	NA
9146	1213	0	0	0	NA
